,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
YEAR,DOY,T2M,WS2M_MAX,WD2M,RH2M,QV2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2015,1,15.54,1.93,321.9,41.23,4.5,0,7.78
2015,2,16.4,2.6,183.8,52.99,6.11,4.1,3.06
2015,3,14.3,1.62,307.7,75.05,7.56,11.06,4.97
2015,4,13.26,4.1,298.1,62.61,5.62,0.04,7.59
2015,5,12.96,6.23,291.1,43.38,3.79,0.03,12.95
2015,6,13.06,4.09,281.2,51.98,4.68,0,9.12
2015,7,12.35,3.87,287.8,53.05,4.54,0,6.11
2015,8,11.89,3.75,281.4,47.08,3.85,0,5.62
2015,9,11.12,2.9,286,41.75,3.25,0,7.19
2015,10,10.92,4.23,282.9,38.8,2.94,0,11.09
2015,11,11.67,4.13,284.8,36.82,2.87,0,8.26
2015,12,12.05,2.86,259.2,35.91,2.94,0,7.91
2015,13,12.23,3.19,169.4,38.58,3.25,0,9.49
2015,14,11.24,2.41,90.7,57.93,4.69,2.34,4.77
2015,15,11.57,2.74,300.8,68.69,5.56,0,9.94
2015,16,12.7,2.5,284.9,66.03,5.7,0,11.06
2015,17,13.29,3.61,285.2,54.37,4.82,0,11.38
2015,18,12.8,4,284,47.26,4.04,0,10.6
2015,19,12.82,2.96,259.1,45.28,3.94,0,8.79
2015,20,12.04,1.52,208.6,42.88,3.61,0,7.37
2015,21,13.47,2.64,119.3,41.87,3.85,2.61,8.36
2015,22,12.27,2.74,91.4,80.86,7.16,6.15,1.79
2015,23,13.25,2.12,286.9,73.46,6.69,2.72,9.57
2015,24,13.51,2.86,284.2,61.05,5.52,0,7.97
2015,25,12.41,2.81,292.9,46.86,3.93,0,8.52
2015,26,12.3,1.24,1.9,56.77,5.04,3.04,6.66
2015,27,12.88,3.18,293.9,53.38,4.82,0,8.87
2015,28,10.91,2.99,289.9,50.12,3.92,0,12.32
2015,29,10.47,4.22,294.1,42.07,3.09,0,15.11
2015,30,11.47,5.05,290.4,40.87,3.2,0,16.67
2015,31,12.64,4.51,284.3,39.53,3.34,0,16.11
2015,32,15.02,1.93,186.9,38.61,3.97,0,14.24
2015,33,15.9,3.17,120.9,41.89,4.52,0.11,12.01
2015,34,15.66,4.09,134,54.06,5.75,2.13,13.42
2015,35,14.43,3.23,294.9,61.43,5.87,0.45,10.8
2015,36,13.69,3.37,283.3,48.51,4.21,0,17.22
2015,37,14.26,1.77,290.9,42.95,3.94,0,16.63
2015,38,16.51,1.77,338.9,41,4.69,0,15.03
2015,39,17.21,3.05,306.8,42.98,5.1,0,14.42
2015,40,16.17,3.26,301.4,48,5.03,0,16.61
2015,41,15.37,3.76,290.4,40.59,4,0,17.01
2015,42,15.1,2.44,283.1,38.67,3.9,0,15.59
2015,43,14.98,3.5,289.9,37.26,3.72,0,15.61
2015,44,15.99,4.04,280.1,33.84,3.61,0,17.88
2015,45,19.16,2.68,269.9,37.67,4.96,0,17.43
